"timeframe" "time" "price_in_usd"
"1D" "2024-08-26_21:35:00" 63348.4527261102
"1D" "2024-08-26_21:30:00" 63397.8629261551
"1D" "2024-08-26_21:25:00" 63243.2438240074
"1D" "2024-08-26_21:20:00" 63351.8690339835
"1D" "2024-08-26_21:15:00" 63551.8150881496
"1D" "2024-08-26_21:10:00" 63564.2198401672
"1D" "2024-08-26_21:05:00" 63802.0201005919
"1D" "2024-08-26_21:00:00" 63778.8533257347
"1D" "2024-08-26_20:55:00" 63791.0783735383
"1D" "2024-08-26_20:50:00" 63667.8626711195
"1D" "2024-08-26_20:45:00" 63691.5683978616
"1D" "2024-08-26_20:40:00" 63708.7037977505
"1D" "2024-08-26_20:35:00" 63755.3834411072
"1D" "2024-08-26_20:30:00" 63722.1839069254
"1D" "2024-08-26_20:25:00" 63660.769233988
"1D" "2024-08-26_20:20:00" 63761.8338864366
"1D" "2024-08-26_20:15:00" 63792.0094944453
"1D" "2024-08-26_20:10:00" 63737.1966217525
"1D" "2024-08-26_20:05:00" 63603.7589851088
"1D" "2024-08-26_20:00:00" 63596.7858942641
"1D" "2024-08-26_19:55:00" 63661.3866292416
"1D" "2024-08-26_19:50:00" 63532.8901472068
"1D" "2024-08-26_19:45:00" 63571.9840383538
"1D" "2024-08-26_19:40:00" 63561.8669174594
"1D" "2024-08-26_19:35:00" 63445.023684088
"1D" "2024-08-26_19:30:00" 63551.9114949942
"1D" "2024-08-26_19:25:00" 63599.3005856997
"1D" "2024-08-26_19:20:00" 63557.8690367073
"1D" "2024-08-26_19:15:00" 63503.8142501398
"1D" "2024-08-26_19:10:00" 63413.0016227681
"1D" "2024-08-26_19:05:00" 63404.6651878795
"1D" "2024-08-26_19:00:00" 63387.2307411118
"1D" "2024-08-26_18:55:00" 63373.3720697347
"1D" "2024-08-26_18:50:00" 63230.3223771109
"1D" "2024-08-26_18:45:00" 63287.6706846663
"1D" "2024-08-26_18:40:00" 63353.17396196
"1D" "2024-08-26_18:35:00" 63413.4152329891
"1D" "2024-08-26_18:30:00" 63491.9160049972
"1D" "2024-08-26_18:25:00" 63424.7553652295
"1D" "2024-08-26_18:20:00" 63397.2146794739
"1D" "2024-08-26_18:15:00" 63260.3705091207
"1D" "2024-08-26_18:10:00" 63211.35571736
"1D" "2024-08-26_18:05:00" 63483.9956288225
"1D" "2024-08-26_18:00:00" 63552.969267667
"1D" "2024-08-26_17:55:00" 63447.9059715309
"1D" "2024-08-26_17:50:00" 63329.1474297539
"1D" "2024-08-26_17:45:00" 63560.0263012253
"1D" "2024-08-26_17:40:00" 63664.0588689995
"1D" "2024-08-26_17:35:00" 63870.0403090905
"1D" "2024-08-26_17:30:00" 63776.5670386805
"1D" "2024-08-26_17:25:00" 63642.3297595398
"1D" "2024-08-26_17:20:00" 63698.0541144395
"1D" "2024-08-26_17:15:00" 63632.0120522855
"1D" "2024-08-26_17:10:00" 63716.1996169991
"1D" "2024-08-26_17:05:00" 63749.526987824
"1D" "2024-08-26_17:00:00" 63837.7714825777
"1D" "2024-08-26_16:55:00" 63744.2228850017
"1D" "2024-08-26_16:50:00" 63832.5775739893
